video_id,subject,behavior,modifiers,count,total_duration_s,duration_mean_s,duration_std_dev,inter_event_intervals_mean_s,inter_event_intervals_std_dev,percent_of_total_length
g102,2nd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g102,3rd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g102,3rd Shrimp,EDGE,,0,0,0,NA,-,-,0
g102,3rd Shrimp,NEAR,,0,0,0,NA,-,-,0
g102,3rd Shrimp,AWAY,,0,0,0,NA,-,-,0
g102,3rd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g102,3rd Shrimp,APART,,0,0,0,NA,-,-,0
g102,3rd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g102,3rd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g103,1st Goby,INSIDE,,0,0,0,NA,-,-,0
g103,1st Goby,OUT OF FRME,,0,0,0,NA,-,-,0
g103,1st Goby,NEAR,,5,21.563,4.313,2.229,44.218,71.264,7.2
g103,1st Goby,EDGE,,3,26.004,8.668,6.002,79.8,106.152,8.7
g103,1st Goby,APART,,6,68.887,11.481,16.497,36.77,37.628,23
g103,1st Goby,BLACK EYES,,5,77.109,15.422,11.966,37.009,39.627,25.7
g103,1st Goby,CONTACT,,6,231.102,38.517,33.927,4.822,2.718,77
g103,1st Goby,AWAY,,3,252.423,84.141,57.787,23.788,19.844,84.1
g103,1st Shrimp,INSIDE,,0,0,0,NA,-,-,0
g103,1st Shrimp,EDGE,,0,0,0,NA,-,-,0
g103,1st Shrimp,NEAR,,0,0,0,NA,-,-,0
g103,1st Shrimp,AWAY,,0,0,0,NA,-,-,0
g103,1st Shrimp,CONTACT,,0,0,0,NA,-,-,0
g103,1st Shrimp,APART,,0,0,0,NA,-,-,0
g103,1st Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g103,1st Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g103,2nd Goby,INSIDE,,0,0,0,NA,-,-,0
g103,2nd Goby,EDGE,,0,0,0,NA,-,-,0
g103,2nd Goby,NEAR,,0,0,0,NA,-,-,0
g103,2nd Goby,AWAY,,0,0,0,NA,-,-,0
g103,2nd Goby,CONTACT,,0,0,0,NA,-,-,0
g103,2nd Goby,APART,,0,0,0,NA,-,-,0
g103,2nd Goby,OUT OF FRME,,0,0,0,NA,-,-,0
g103,2nd Goby,BLACK EYES,,0,0,0,NA,-,-,0
g103,2nd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g103,2nd Shrimp,EDGE,,0,0,0,NA,-,-,0
g103,2nd Shrimp,NEAR,,0,0,0,NA,-,-,0
g103,2nd Shrimp,AWAY,,0,0,0,NA,-,-,0
g103,2nd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g103,2nd Shrimp,APART,,0,0,0,NA,-,-,0
g103,2nd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g103,2nd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g103,3rd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g103,3rd Shrimp,EDGE,,0,0,0,NA,-,-,0
g103,3rd Shrimp,NEAR,,0,0,0,NA,-,-,0
g103,3rd Shrimp,AWAY,,0,0,0,NA,-,-,0
g103,3rd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g103,3rd Shrimp,APART,,0,0,0,NA,-,-,0
g103,3rd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g103,3rd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g104,1st Goby,INSIDE,,0,0,0,NA,-,-,0
g104,1st Goby,OUT OF FRME,,1,3.748,3.748,NA,NA,NA,1.2
g104,1st Goby,NEAR,,5,38.762,7.752,7.606,11.694,7.835,12.9
g104,1st Goby,EDGE,,4,46.768,11.692,7.835,9.76,9.954,15.6
g104,1st Goby,BLACK EYES,,5,48.129,9.626,4.271,43.858,29.952,16
g104,1st Goby,APART,,9,100.911,11.212,9.649,15.136,13.147,33.6
g104,1st Goby,CONTACT,,10,199.071,19.907,17.415,11.214,9.649,66.4
g104,1st Goby,AWAY,,2,214.46,107.23,133.558,85.54,NA,71.5
